,id,Wave,Answer,Repeater,Course,Group,Sex,outlier_type,outlier
132,191.0,a,1,0.0,1,101,1,0,0
414,191.0,b,1,0.0,1,101,1,0,0
982,191.0,c,1,0.0,2,202,1,0,0
1541,191.0,d,1,0.0,2,202,1,0,0
2079,191.0,e,1,0.0,2,202,1,0,0
2746,191.0,f,1,0.0,3,301,1,0,0
3306,191.0,g,1,0.0,3,301,1,0,0
3821,191.0,h,1,0.0,3,301,1,0,0
4495,191.0,i,1,0.0,4,402,1,0,0
4965,191.0,j,1,0.0,4,402,1,0,0
5549,191.0,k,1,0.0,4,402,1,0,0
133,192.0,a,1,0.0,1,101,0,0,0
424,192.0,b,1,0.0,1,101,0,0,0
1046,192.0,c,1,0.0,2,201,0,0,0
1524,192.0,d,1,0.0,2,201,0,0,0
2136,192.0,e,1,0.0,2,201,0,0,0
2744,192.0,f,1,0.0,3,301,0,0,0
3308,192.0,g,1,0.0,3,301,0,0,0
3826,192.0,h,1,0.0,3,301,0,0,0
4454,192.0,i,1,0.0,4,401,0,0,0
4977,192.0,j,1,0.0,4,401,0,0,0
5546,192.0,k,1,0.0,4,401,0,0,0
134,193.0,a,1,0.0,1,101,0,0,0
413,193.0,b,1,0.0,1,101,0,0,0
997,193.0,c,0,0.0,2,201,0,0,0
1552,193.0,d,1,0.0,2,201,0,100,1
2051,193.0,e,1,0.0,2,201,0,0,0
2648,193.0,f,0,3.0,2,201,0,0,0
3173,193.0,g,1,2.0,2,201,0,100,1
3646,193.0,h,1,1.0,2,201,0,0,0
4280,193.0,i,1,0.0,3,301,0,100,1
4914,193.0,j,1,0.0,3,301,0,100,1
5503,193.0,k,1,0.0,3,301,0,0,0
135,194.0,a,1,0.0,1,101,1,0,0
412,194.0,b,1,0.0,1,101,1,0,0
998,194.0,c,1,0.0,2,201,1,0,0
1526,194.0,d,1,0.0,2,201,1,0,0
2052,194.0,e,1,0.0,2,201,1,0,0
2772,194.0,f,1,0.0,3,302,1,0,0
3300,194.0,g,1,0.0,3,302,1,0,0
3836,194.0,h,1,0.0,3,302,1,0,0
4499,194.0,i,0,0.0,4,402,1,0,0
4971,194.0,j,1,0.0,4,402,1,0,0
